 Td        ID        Tj        Df        Dd        Db
  4         3         4         0         4         0
  5      2004         4         0         1         1
  5      2005         4         0         1         1
  5      2011         5         0         0         0
  5         5         4         0         1         1
  5         9         5         0         0         0
  6      2008         5         0         1         1
  6      2003         4         0         2         2
  7        15         6         0         1         1
  7      2017         6         0         1         1
  7      2010         5         1         1         2
  7        20         6         0         1         1
  7        17         6         0         1         1
  7        18         6         0         1         1
  8      2002         4         0         4         4
  8      2018         6         0         2         2
  8        10         5         0         3         3
  9      2007         5         1         3         4
  9      4001         9         0         0         0
 10      2009         5         0         5         5
 10      2021         9         0         1         1
 10      2020         6         0         4         4
 10      2023         9         0         1         1
 11      2006         4         0         7         7
 11      2022         9         0         2         2
 12      2025         9         2         1         3
 12      2001         4         0         8         8
 12      2024         9         0         3         3
 13      2000         4         0         9         9
 14      2013         5         1         8         9
 15      2012         5         1         9        10
 15      2026         9         2         4         6
 15      2032        15         0         0         0
 15        27         9         0         6         6
 15        34        15         0         0         0
 16      2028        15         0         1         1
 17        37        17         0         0         0
 18        40        17         0         1         1
 18        39        17         0         1         1
 19      2034        15         1         3         4
 21      2027         9         2        10        12
 21      2035        17         0         4         4
 22      2036        17         1         4         5
 22      2039        17         0         5         5
 23      2052        20         0         3         3
 23      2040        17         0         6         6
 23      2037        17         1         5         6
 24      2059        21         1         2         3
 24      2043        19         1         4         5
 24        64        22         1         1         2
 24        56        20         0         4         4
 25      2038        17         4         4         8
 25      2074        25         0         0         0
 25        43        19         0         6         6
 26      2031        15         0        11        11
 26      2050        20         2         4         6
 26      2048        19         0         7         7
 26        19         6         0        20        20
 27      2058        21         0         6         6
 27      2051        20         0         7         7
 27        67        22         1         4         5
 27        74        25         1         1         2
 27        75        25         0         2         2
 27        53        20         0         7         7
 27        36        17         0        10        10
 28      2054        20         0         8         8
 28      2062        21         5         2         7
 28      2064        22         0         6         6
 28        61        21         0         7         7
 28        69        22         0         6         6
 29      2068        22         0         7         7
 29        73        25         1         3         4
 30      2029        15         0        15        15
 30      2056        21         3         6         9
 30        66        22         1         7         8
 30        63        21         2         7         9
 31      2069        22         3         6         9
 31      2061        21         0        10        10
 31      2041        17         0        14        14
 31        42        17         0        14        14
 32      2075        25         0         7         7
 32        44        19         0        13        13
 33      2030        15         0        18        18
 33      2057        21         0        12        12
 34      2042        19         1        14        15
 34      2070        25         0         9         9
 35      2071        25         0        10        10
 35      2077        35         0         0         0
 35        82        35         0         0         0
 36      2066        22         3        11        14
 36        79        35         0         1         1
 37      2055        20         3        14        17
 38      2053        20         2        16        18
 38        23         9         0        29        29
 39      2082        35         1         3         4
 40      2073        25         5        10        15
 40      2033        15         1        24        25
 40      2083        35         0         5         5
 40        91        39         0         1         1
 41      2081        35         0         6         6
 43      2085        39         1         3         4
 43      2078        35         1         7         8
 44      2063        22         3        19        22
 44      2089        39         0         5         5
 44        92        44         0         0         0
 45        97        44         0         1         1
 46      2087        39         3         4         7
 46        76        25         0        21        21
 47      2047        19         1        27        28
 47       111        47         0         0         0
 48      2109        47         0         1         1
 49      2065        22         3        24        27
 49      2067        22         4        23        27
 49      2049        20         2        27        29
 49      2100        46         0         3         3
 49       109        47         0         2         2
 49       112        47         0         2         2
 49       117        49         0         0         0
 49        84        35         0        14        14
 50      2046        19         1        30        31
 50      2080        35         4        11        15
 50       118        49         1         0         1
 50        83        35         0        15        15
 52      2096        44         4         4         8
 52      2102        46         1         5         6
 52       106        47         0         5         5
 53      2060        21         3        29        32
 53      2105        47         4         2         6
 53      2104        46         0         7         7
 53       133        52         0         1         1
 54      2044        19         1        34        35
 54      2090        39         3        12        15
 54      2045        19         1        34        35
 54      2120        51         0         3         3
 54       125        51         0         3         3
 55      2106        47         3         5         8
 55      2110        47         0         8         8
 55        51        20         0        35        35
 56      2111        47         4         5         9
 56      2121        51         1         4         5
 56      2107        47         4         5         9
 56       121        51         0         5         5
 57      2093        44         4         9        13
 57       130        52         1         4         5
 57       114        49         2         6         8
 57        65        22         1        34        35
 58       132        52         1         5         6
 58        57        21         3        34        37
 59       127        52         0         7         7
 59       148        59         0         0         0
 59        52        20         0        39        39
 59        48        19         0        40        40
 59        47        19         0        40        40
 59         2         4         0        55        55
 59        26         9         0        50        50
 59        46        19         0        40        40
 59        77        25         1        33        34
 59        31        15         0        44        44
 59        58        21         0        38        38
 59        68        22         1        36        37
 59        45        19         0        40        40
 59        93        44         0        15        15
 59        81        35         0        24        24
 59         1         4         0        55        55
 59        28         9         0        50        50
 59        35        15         0        44        44
 59        98        44         0        15        15
 59        14         5         0        54        54
 59        50        20         0        39        39
 59         6         4         0        55        55
 59        80        35         0        24        24
 59        89        39         0        20        20
 59        16         6         0        53        53
 59        85        39         0        20        20
 59        54        20         0        39        39
 59        13         5         0        54        54
 59        21         6         0        53        53
 59        11         5         0        54        54
 59        32        15         3        41        44
 59        55        20         0        39        39
 59        70        22         0        37        37
 59        33        15         1        43        44
 59        71        25         0        34        34
 59        72        25         0        34        34
 59        60        21         0        38        38
 59        22         9         0        50        50
 59        30        15        17        27        44
 59        12         5         0        54        54
 59       150        59         0        59         0
 60      2149        59         0         1         1
 60      2132        52         0         8         8
 60       126        51         0         9         9
 60       115        49         1        10        11
 60        78        35         3        22        25
 60       110        47         0        13        13
 60       104        46         0        14        14
 61      2088        39         2        20        22
 61      2127        52         0         9         9
 61      2146        55         0         6         6
 62      2079        35         4        23        27
 62      2103        46         2        14        16
 62       137        53         0         9         9
 62        41        17         0        45        45
 62        59        21         8        33        41
 63      2092        44         3        16        19
 63       103        46         4        13        17
 63       128        52         6         5        11
 64      2128        52         5         7        12
 64      2130        52         6         6        12
 64      2119        51         0        13        13
 64       159        64         0         0         0
 64       160        64         0         0         0
 64       161        64         0         0         0
 64       152        59         0         5         5
 64        62        21        38         5        43
 64        94        44         0        20        20
 64        95        44         0        20        20
 64       100        46         0        18        18
 64       107        47         0        17        17
 64       102        46         0        18        18
 64        96        44         0        20        20
 64       157        64         0        64         0
 65       144        55         1         9        10
 65       164        65         0         0         0
 65        38        17        41         7        48
 65       147        55         0        10        10
 66      2098        46         1        19        20
 66        49        19         0        47        47
 66       101        46         5        15        20
 66       142        55         0        11        11
 68      2091        44         0        24        24
 69      2143        55         7         7        14
 69      2181        68         0         1         1
 70      2125        51         4        15        19
 70      2165        65         4         1         5
 70       163        65         0         5         5
 70       178        68         0         2         2
 71       168        65         0         6         6
 72      2188        71         0         1         1
 72       186        71         0         1         1
 73      2166        65         0         8         8
 73       122        51         0        22        22
 73       187        71         0         2         2
 74      2168        67         6         1         7
 74       120        51         0        23        23
 75      2141        55         0        20        20
 75        87        39         0        36        36
 75       113        49         0        26        26
