 Td        ID        Tj        Df        Dd        Db
  5      2000         4         0         1         1
  6      2003         4         0         2         2
  6         8         5         0         1         1
  7         6         4         1         2         3
  8      2006         4         1         3         4
  8        11         5         0         3         3
 11      2001         4         0         7         7
 11      2002         4         1         6         7
 11      2012         5         2         4         6
 11      2005         4         0         7         7
 12      2004         4         0         8         8
 12      2011         5         0         7         7
 13      2016        11         0         2         2
 13      2007         5         1         7         8
 13      2013         5         0         8         8
 14      2018        11         0         3         3
 14      2019        11         0         3         3
 15      2014        11         3         1         4
 15      2010         5         3         7        10
 16      2008         5         2         9        11
 17      2023        17         0         0         0
 17        13         5         1        11        12
 19      2027        17         1         1         2
 19      2009         5         3        11        14
 19        15        11         0         8         8
 20      2024        17         0         3         3
 20      2032        19         0         1         1
 21      2029        19         0         2         2
 21      2021        17         0         4         4
 21      2020        11         0        10        10
 21      2017        11         3         7        10
 21        33        19         0         2         2
 22        29        19         0         3         3
 23        23        17         2         4         6
 24        27        17         1         6         7
 24        40        24         0         0         0
 24        42        24         0         0         0
 25        41        24         0         1         1
 26        36        24         0         2         2
 27      2015        11         0        16        16
 27      2036        24         0         3         3
 29      2037        24         0         5         5
 30      2050        28         0         2         2
 30      2028        19         2         9        11
 31      2058        30         0         1         1
 31        52        28         0         3         3
 32      2035        24         1         7         8
 32      2034        19         0        13        13
 32        57        30         0         2         2
 33      2031        19         6         8        14
 33      2033        19         6         8        14
 33        45        26         0         7         7
 34        37        24         0        10        10
 34      2062        30         3         1         4
 34        69        33         0         1         1
 36      2060        30         5         1         6
 37      2026        17         1        19        20
 37      2022        17         0        20        20
 37        44        26         0        11        11
 38      2025        17         0        21        21
 38      2047        26         2        10        12
 38      2070        36         2         0         2
 38      2048        26         5         7        12
 38      2039        24         7         7        14
 38        59        30         0         8         8
 39      2071        36         0         3         3
 39      2075        36         0         3         3
 39        24        17         0        22        22
 40      2057        30         1         9        10
 41      2043        26         4        11        15
 41      2046        26         4        11        15
 41         7         4         2        35        37
 41         5         4         0        37        37
 41        17        11         0        30        30
 41        12         5         2        34        36
 41        34        19         0        22        22
 41         4         4         0        37        37
 41        25        17         1        23        24
 41         1         4         1        36        37
 41        26        17         1        23        24
 41        32        19         0        22        22
